target_ticker,most_similar,most_similar_corr,most_dissimilar,most_dissimilar_corr
000080.KS,"['030000.KS', '001800.KS', '000240.KS', '007310.KS', '007070.KS']","[0.5977707110720037, 0.5815204411678719, 0.5698569553728396, 0.5349253741573571, 0.5189906739160247]","['103590.KS', '042660.KS', '017960.KS', '082740.KS', '241560.KS']","[-0.18903647058058076, -0.17458632249470868, -0.14935522848164404, -0.14908845098302306, -0.14081870925055726]"
000100.KS,"['326030.KS', '009420.KS', '185750.KS', '006280.KS', '069620.KS']","[0.5986410683804767, 0.5948473625583267, 0.49837334080814244, 0.4907272871478938, 0.48989245414165494]","['017800.KS', '026960.KS', '051600.KS', '015760.KS', '139480.KS']","[-0.15379822352427863, -0.14603823653585188, -0.140443551488082, -0.13203731002882063, -0.13111709460272958]"
000120.KS,"['004170.KS', '251270.KS', '139480.KS', '034230.KS', '002380.KS']","[0.5254494008272882, 0.5062727609483131, 0.4842890690641074, 0.45811995691648455, 0.4424847401648389]","['111770.KS', '137310.KS', '011200.KS', '000100.KS', '010140.KS']","[-0.14599197507810552, -0.13039159738144232, -0.06346345373786291, -0.05581967886136708, -0.048083361432646354]"
000150.KS,"['034020.KS', '402340.KS', '010120.KS', '103590.KS', '000660.KS']","[0.5511147298401389, 0.5298326503875679, 0.5275032433407689, 0.5203208890051954, 0.5020878267364814]","['030200.KS', '073240.KS', '032640.KS', '280360.KS', '051910.KS']","[-0.31963540446149363, -0.2851840008526706, -0.21036944101974053, -0.18374557629583063, -0.17540342509684587]"
000240.KS,"['004990.KS', '034730.KS', '003090.KS', '000080.KS', '078930.KS']","[0.6287276101772932, 0.5999602892353065, 0.5927674157396107, 0.5698569553728396, 0.5379441191125948]","['010130.KS', '012450.KS', '272210.KS', '352820.KS', '052690.KS']","[-0.19921565743806854, -0.1572526143676062, -0.11534656728460305, -0.10983902037408384, -0.09485990828615393]"
000270.KS,"['005380.KS', '005385.KS', '005387.KS', '011210.KS', '010950.KS']","[0.6950841825144176, 0.6634543586231626, 0.6608630346954294, 0.5239616190100489, 0.47977642618601274]","['017960.KS', '111770.KS', '003490.KS', '088980.KS', '042660.KS']","[-0.16723385371345692, -0.14338454982848917, -0.12783340245421212, -0.12434132670601795, -0.12135161025019854]"
000660.KS,"['402340.KS', '042700.KS', '071050.KS', '014680.KS', '011790.KS']","[0.8863609911054875, 0.7060800762071264, 0.5794281733806661, 0.5504938858462802, 0.5483906776834528]","['030200.KS', '139480.KS', '259960.KS', '073240.KS', '089860.KS']","[-0.16401759473123947, -0.1325237868968227, -0.09608366335528826, -0.08483858790615069, -0.07111272586771596]"
000720.KS,"['006360.KS', '034020.KS', '047040.KS', '003570.KS', '006800.KS']","[0.6136304982100492, 0.5748613271138839, 0.4944837375825101, 0.4729850982233985, 0.44542989685951867]","['010130.KS', '204320.KS', '073240.KS', '018880.KS', '021240.KS']","[-0.29065728475518865, -0.28761228725707005, -0.2508890228916323, -0.22978847652877765, -0.18104436774248187]"
000810.KS,"['032830.KS', '028260.KS', '024110.KS', '316140.KS', '029780.KS']","[0.7141554574409258, 0.6361171105744249, 0.6348327925174955, 0.6158429066728368, 0.5979690989289087]","['298020.KS', '267270.KS', '298040.KS', '012450.KS', '009450.KS']","[-0.243410126139483, -0.223541066138436, -0.21931895819074607, -0.12829888906394912, -0.12518867336290224]"
000880.KS,"['267250.KS', '006360.KS', '034730.KS', '078930.KS', '002380.KS']","[0.5906834716212297, 0.5713759774574659, 0.5457107766823113, 0.5055800364277943, 0.4751769292915444]","['259960.KS', '000100.KS', '081660.KS', '005850.KS', '111770.KS']","[-0.31563673421058125, -0.10267479823571406, -0.07121128794858393, -0.04716073126008026, -0.04621014960875607]"
000990.KS,"['014680.KS', '005930.KS', '020150.KS', '361610.KS', '022100.KS']","[0.675214388485734, 0.6513046586342958, 0.5726726986360263, 0.5570154123447768, 0.5480239481315446]","['030200.KS', '010620.KS', '267260.KS', '015760.KS', '010130.KS']","[-0.22982826430605272, -0.13320206277887134, -0.12892987393084207, -0.1204966217734513, -0.11463375228567328]"
001040.KS,"['006260.KS', '002380.KS', '003550.KS', '012630.KS', '192080.KS']","[0.5329797552185137, 0.5299465234504559, 0.48285668203591425, 0.4671532457443802, 0.4560162768918642]","['267270.KS', '272210.KS', '011200.KS', '373220.KS', '081660.KS']","[-0.15140062024494474, -0.14019668823435752, -0.14010543496618327, -0.1107327438451864, -0.09381886912331022]"
001440.KS,"['052690.KS', '010950.KS', '006260.KS', '010120.KS', '039490.KS']","[0.6061184367328635, 0.5804664546207012, 0.5529677517511771, 0.5225903738677754, 0.5177656497500489]","['081660.KS', '139480.KS', '395400.KS', '023530.KS', '010130.KS']","[-0.12729759289541012, -0.12417601110612185, -0.10135193980206789, -0.08425308275261886, -0.07376410084715569]"
001450.KS,"['005830.KS', '055550.KS', '086790.KS', '010950.KS', '006800.KS']","[0.65072564432955, 0.5785400928836358, 0.568092370846586, 0.5620407774231012, 0.5601339576099709]","['042660.KS', '267270.KS', '272210.KS', '012450.KS', '035420.KS']","[-0.17406454246459663, -0.11906844513235, -0.10854298739158502, -0.10312223005359887, -0.06646961651692711]"
