종목코드,종목명
005930,삼성전자
000660,SK하이닉스
373220,LG에너지솔루션
207940,삼성바이오로직스
005380,현대차
012450,한화에어로스페이스
329180,HD현대중공업
000270,기아
105560,KB금융
068270,셀트리온
035420,NAVER
055550,신한지주
042660,한화오션
012330,현대모비스
011200,HMM
028260,삼성물산
138040,메리츠금융지주
009540,HD한국조선해양
005490,POSCO홀딩스
034020,두산에너빌리티
086790,하나금융지주
000810,삼성화재
259960,크래프톤
032830,삼성생명
010130,고려아연
015760,한국전력
035720,카카오
051910,LG화학
033780,KT&G
096770,SK이노베이션
402340,SK스퀘어
316140,우리금융지주
030200,KT
010140,삼성중공업
267260,HD현대일렉트릭
024110,기업은행
006400,삼성SDI
064350,현대로템
066570,LG전자
352820,하이브
323410,카카오뱅크
017670,SK텔레콤
003550,LG
034730,SK
180640,한진칼
018260,삼성에스디에스
009150,삼성전기
047810,한국항공우주
003670,포스코퓨처엠
000100,유한양행
086280,현대글로비스
079550,LIG넥스원
272210,한화시스템
003490,대한항공
047050,포스코인터내셔널
042700,한미반도체
003230,삼양식품
006800,미래에셋증권
090430,아모레퍼시픽
021240,코웨이
010120,LS ELECTRIC
326030,SK바이오팜
010620,HD현대미포
005830,DB손해보험
000150,두산
009830,한화솔루션
267250,HD현대
010950,S-Oil
032640,LG유플러스
005940,NH투자증권
298040,효성중공업
051900,LG생활건강
071050,한국금융지주
161390,한국타이어앤테크놀로지
271560,오리온
029780,삼성카드
006260,LS
016360,삼성증권
000720,현대건설
241560,두산밥캣
034220,LG디스플레이
251270,넷마블
278470,에이피알
377300,카카오페이
028050,삼성E&A
011790,SKC
128940,한미약품
001040,CJ
000880,한화
078930,GS
097950,CJ제일제당
039490,키움증권
022100,포스코DX
035250,강원랜드
011070,LG이노텍
138930,BNK금융지주
175330,JB금융지주
450080,에코프로머티
036570,엔씨소프트
004020,현대제철
036460,한국가스공사
454910,두산로보틱스
489790,한화비전
302440,SK바이오사이언스
017800,현대엘리베이터
011780,금호석유화학
004370,농심
383220,F&F
192820,코스맥스
002380,KCC
004990,롯데지주
026960,동서
012750,에스원
018880,한온시스템
011170,롯데케미칼
052690,한전기술
066970,엘앤에프
081660,미스토홀딩스
008930,한미사이언스
111770,영원무역
139480,이마트
001440,대한전선
088350,한화생명
112610,씨에스윈드
030000,제일기획
023530,롯데쇼핑
161890,한국콜마
051600,한전KPS
000120,CJ대한통운
028670,팬오션
002790,아모레퍼시픽홀딩스
001450,현대해상
000240,한국앤컴퍼니
006360,GS건설
008770,호텔신라
042670,HD현대인프라코어
069620,대웅제약
103140,풍산
139130,iM금융지주
204320,HL만도
282330,BGF리테일
361610,SK아이이테크놀로지
375500,DL이앤씨
004170,신세계
005850,에스엘
009970,영원무역홀딩스
007310,오뚜기
047040,대우건설
069960,현대백화점
006280,녹십자
010060,OCI홀딩스
300720,한일시멘트
073240,금호타이어
000080,하이트진로
014680,한솔케미칼
009420,한올바이오파마
457190,이수스페셜티케미컬
007070,GS리테일
280360,롯데웰푸드
001800,오리온홀딩스
003090,대웅
011210,현대위아
185750,종근당
137310,에스디바이오센서
336260,두산퓨얼셀
005070,코스모신소재
001120,LX인터내셔널
192080,더블유게임즈
003240,태광산업
014820,동원시스템즈
004000,롯데정밀화학
001740,SK네트웍스
009240,한샘
285130,SK케미칼
002840,미원상사
298020,효성티앤씨
005300,롯데칠성
298050,HS효성첨단소재
003030,세아제강지주
004490,세방전지
120110,코오롱인더
114090,GKL
039130,하나투어
008730,율촌화학
003620,KG모빌리티
001680,대상
000210,DL
145720,덴티움
456040,OCI
001430,세아베스틸지주
069260,TKG휴켐스
271940,일진하이솔루스
002710,TCC스틸
178920,PI첨단소재
005420,코스모화학
005250,녹십자홀딩스
006650,대한유화
105630,한세실업
093370,후성
006110,삼아알미늄
